#####################
# real - tools
#####################

*************** 001_mallet_1_grasp ***************
ADD<2cm = 15.00 [%], AUC = 62.31 [%]
ADD-S<2cm = 35.00 [%], AUC = 62.89 [%]
*************** 003_spatula_1_grasp ***************
ADD<2cm = 59.26 [%], AUC = 73.36 [%]
ADD-S<2cm = 62.96 [%], AUC = 81.94 [%]
*************** 005_wooden_spoon_1_grasp ***************
ADD<2cm = 0.00 [%], AUC = 52.08 [%]
ADD-S<2cm = 38.10 [%], AUC = 69.54 [%]
*************** 007_screwdriver_1_grasp ***************
ADD<2cm = 50.00 [%], AUC = 74.36 [%]
ADD-S<2cm = 90.91 [%], AUC = 88.03 [%]
*************** 009_garden_shovel_1_grasp ***************
ADD<2cm = 6.67 [%], AUC = 62.93 [%]
ADD-S<2cm = 40.00 [%], AUC = 74.75 [%]

*************** MEAN RESULTS ***************
ADD<2cm = 26.19 [%], AUC = 65.01 [%]
ADD-S<2cm = 53.39 [%], AUC = 75.43 [%]

#####################
# real - clutter
#####################

*************** 001_mallet_1_grasp ***************
ADD<2cm = 0.00 [%], AUC = 28.53 [%]
ADD-S<2cm = 28.92 [%], AUC = 63.88 [%]
*************** 003_spatula_1_grasp ***************
ADD<2cm = 31.94 [%], AUC = 58.53 [%]
ADD-S<2cm = 54.17 [%], AUC = 78.85 [%]
*************** 005_wo38oden_spoon_1_grasp ***************
ADD<2cm = 11.11 [%], AUC = 47.08 [%]
ADD-S<2cm = 30.56 [%], AUC = 69.34 [%]
*************** 007_screwdriver_1_grasp ***************
ADD<2cm = 5.49 [%], AUC = 48.89 [%]
ADD-S<2cm = 86.81 [%], AUC = 85.10 [%]
*************** 009_garden_shovel_1_grasp ***************
ADD<2cm = 4.60 [%], AUC = 57.37 [%]
ADD-S<2cm = 29.89 [%], AUC = 71.07 [%]

*************** MEAN RESULTS ***************
ADD<2cm = 10.63 [%], AUC = 48.08 [%]
ADD-S<2cm = 46.07 [%], AUC = 73.65 [%]

#####################
# test - tools
#####################

*************** 001_mallet_1_grasp ***************
ADD<2cm = 0.00 [%], AUC = 16.50 [%]
ADD-S<2cm = 0.00 [%], AUC = 47.46 [%]
*************** 003_spatula_1_grasp ***************
ADD<2cm = 23.81 [%], AUC = 71.33 [%]
ADD-S<2cm = 80.95 [%], AUC = 86.03 [%]
*************** 005_wooden_spoon_1_grasp ***************
ADD<2cm = 0.00 [%], AUC = 32.26 [%]
ADD-S<2cm = 11.11 [%], AUC = 64.93 [%]
*************** 007_screwdriver_1_grasp ***************
ADD<2cm = 14.29 [%], AUC = 71.04 [%]
ADD-S<2cm = 71.43 [%], AUC = 82.27 [%]
*************** 009_garden_shovel_1_grasp ***************
ADD<2cm = 9.38 [%], AUC = 53.89 [%]
ADD-S<2cm = 31.25 [%], AUC = 71.13 [%]

*************** MEAN RESULTS ***************
ADD<2cm = 9.49 [%], AUC = 49.00 [%]
ADD-S<2cm = 38.95 [%], AUC = 70.37 [%]
65
#####################
# test - clutter
#####################



#####################
# syn - tools
#####################

*************** 001_mallet_1_grasp ***************
ADD<2cm = 0.00 [%], AUC = 36.25 [%]
ADD-S<2cm = 5.88 [%], AUC = 57.23 [%]
*************** 003_spatula_1_grasp ***************
ADD<2cm = 95.45 [%], AUC = 90.96 [%]
ADD-S<2cm = 95.45 [%], AUC = 93.92 [%]
*************** 005_wooden_spoon_1_grasp ***************
ADD<2cm = 0.00 [%], AUC = 45.96 [%]
ADD-S<2cm = 37.50 [%], AUC = 70.74 [%]
*************** 007_screwdriver_1_grasp ***************
ADD<2cm = 95.83 [%], AUC = 92.88 [%]
ADD-S<2cm = 95.83 [%], AUC = 95.60 [%]
*************** 009_garden_shovel_1_grasp ***************
ADD<2cm = 84.62 [%], AUC = 85.30 [%]
ADD-S<2cm = 92.31 [%], AUC = 91.82 [%]

*************** MEAN RESULTS ***************
ADD<2cm = 55.18 [%], AUC = 70.27 [%]
ADD-S<2cm = 65.40 [%], AUC = 81.86 [%]

#####################
# syn - clutter
#####################

*************** 001_mallet_1_grasp ***************
ADD<2cm = 0.00 [%], AUC = 47.90 [%]
ADD-S<2cm = 25.53 [%], AUC = 66.63 [%]
*************** 003_spatula_1_grasp ***************
ADD<2cm = 50.98 [%], AUC = 62.74 [%]
ADD-S<2cm = 84.31 [%], AUC = 87.62 [%]
*************** 005_wooden_spoon_1_grasp ***************
ADD<2cm = 0.00 [%], AUC = 31.20 [%]
ADD-S<2cm = 20.93 [%], AUC = 66.25 [%]
*************** 007_screwdriver_1_grasp ***************
ADD<2cm = 66.27 [%], AUC = 75.25 [%]
ADD-S<2cm = 98.80 [%], AUC = 94.49 [%]
*************** 009_garden_shovel_1_grasp ***************
ADD<2cm = 53.95 [%], AUC = 74.38 [%]
ADD-S<2cm = 64.47 [%], AUC = 80.15 [%]

*************** MEAN RESULTS ***************
ADD<2cm = 34.24 [%], AUC = 58.29 [%]
ADD-S<2cm = 58.81 [%], AUC = 79.03 [%]






